user_id	f	p	n
A100434D2BHASB	1	2	0
A100XHA2FKY7AZ	2	1	1
A1017R583L2H0A	2	1	1
A101DG5LS6L3HM	0	1	0
A100918N7N354A	17	1	0
A100S1JQ5XK960	13	3	0
A102UD2TGN3TKT	0	2	1
A1006HCQDMYC5W	10	2	0
A101QBOVSZ1D9R	9	1	0
A1006PBRLR0XGK	2	2	1
A102SVOH0JD2RP	6	3	0
A103JTRLM3WXEK	1	1	0
A105CRMZQKC0N1	0	1	1
A101U72MVXA6CR	13	1	2
A103DSGWA3BCYZ	0	1	0
A101X5KFOHP7TC	26	3	1
A103FLL26RYAG5	3	0	1
A104S66OE9H2T1	4	0	1
A104COOLU3W30V	7	3	0
A106D1I5JFT3QR	27	1	1
A102UT46ZYS523	12	3	1
A103R1XM8G85KH	0	1	2
A102TBYVX6319C	37	6	1
A102YR6KY326EL	7	3	3
A107LQISEJVK38	14	5	1
A105GSLHVNUNLU	9	2	0
A106T5K0T4TZDJ	5	1	1
A109VQM76YSWO7	3	0	2
A103YOLBTIDJDX	6	2	0
A10AWEC7OVT0J	3	2	0
A108LZYTLP93OP	6	3	1
A106KSV1I8CO0C	6	2	1
A103NZUB97O2XA	9	2	0
A104ATVAOWTSPO	2	1	1
A10C9L2YGI3JXV	2	1	1
A10AAVEIV2WUK6	6	1	1
A10DYINBIKKAGK	2	2	0
A10BGWXSYYBHI2	2	2	1
A10DKAA1AJ69ST	5	1	1
A105NYRPZGNJ19	2	1	3
A10EKMN8467XZ2	12	2	0
A10H2JRVK53MOA	38	5	1
A10IOYRMYL4ETT	7	0	1
A105L5EX9D0NH8	11	3	0
A10HTRALISYFUT	2	1	0
A107B9W9XZYKUN	2	0	1
A109902ADFUE49	0	0	2
A107KPGIQNNKBO	14	2	1
A10JA35BAF04MA	5	2	0
A107S5ZWFDAF04	64	1	2
A106WRALWWXX0R	25	2	2
A109X0O89OSZC3	24	4	0
A10L6QTTS2HQ47	2	2	0
