user_id	f	p	n
-1b-2Hgr_MohnF-u5wjUCA	4	1	0
-3c93zRNCoP_6mf_J0zK2A	30	1	1
-0XKo44bg7OQIEn-fx9jFQ	9	1	0
-0D3oSKIIWCTtii9ggLpcw	5	2	1
-2mNBuY67QaGeUznM8Dssg	2	3	2
-2RJkbNasEmKkQd5TtHbHg	4	1	1
-0tYWv5LxCIdWdaf1jUkzA	2	7	1
-52uGaONLC-U4aWaPO_mqg	1	2	1
-26J4wzYrjU7IIQAkR1EWg	5	4	2
-3KxiLidK5rE_2Tq4FMKOg	3	1	1
-48wEbIfcnM_TGEfqCzlBA	2	5	0
-7XzxxHKXmhUa0m7oI0uQg	1	1	1
-2r-OO0dtcCQQ3BLYdHXlg	3	14	4
-6UZo-t_np-_K_tsUnTlMA	4	1	0
-17daRQ2Q-fyd_AHrhGgBg	22	1	3
-2sGVnUcv9VXKOl3RgEG3w	4	1	1
-2EuoueswhqEERWezJY8gw	3	13	3
-5mGjg-8FoPVsh0pMGRozQ	17	2	1
-AI8fSonmZYXAospLUXHlA	4	1	1
-BQFGG_hrORLkEs8oigCjg	3	6	0
-4oMIz81X8Ql7NMxDIZRIw	2	4	4
-bBWxXTOqxbxS0BCIXdI0Q	32	14	1
-aQYdj81dfJGZbJFuRnMdQ	5	5	3
-BrrDtvQIkGpuNL6ax3mlQ	3	2	0
-9Cpfx5tLiS4A_seJYLKsw	5	1	1
-dndfk1goOEC2sYxklf3yQ	6	8	0
-2PFmYGWB6rQhZtRh6PlPA	3	29	19
-3NwMz4VL7SApP9YAPSP3w	5	2	1
-BhjP7Ll-zEtXvJJQ1ZKvA	8	4	1
-6f74MeztMVqdKBUQSM2gA	1	9	4
-494b8jvjlI07v9HheHhrw	5	4	2
-gdDH8SMQ01tOMlUvhMcgw	1	3	2
-iJ9ws47SDzuaAka6-iR1A	28	0	1
-AMdY_U9JnwLGkp-rAy2nQ	2	1	1
-jVQEGYjTdKbDOz5VhJ2tA	4	2	1
-Lh8wHJvzv1ns_WosVq1gg	2	1	0
-mxOlSvK_EAF4rr-q8oWnw	3	2	1
-O8exEPYgJ6tjHD7sB2QRw	6	4	1
-cG-AgZ-f9Mhas-gKFhhGg	3	6	2
-8gRkiYaVm3zfoQ4pcg75w	6	21	3
-bRbg-jCXrWOq32RY_n6lw	7	1	1
-bgWfdRQ9MOVqnC3Pm38rQ	9	2	1
-By2NfPUqfaHq3ROCmKtSw	3	1	1
-G72lLqR6rx2E6DhuF28Mg	16	6	1
-cV9EY-f8OQKLP1-eiKvIw	3	4	1
-fJTGQSDtZJlXbxnYCLv4Q	2	4	0
-7G86_mYaOTLEzuWoyiSdQ	13	15	6
-i6DnGiI6S8ld8hX_maOig	5	1	0
-JM3mvpxonfYgT7eGb4cxA	7	1	0
-EyEj5BujVFisco6OwmR8A	7	18	6
-iArS6zaHaXYjT20N1vXhg	8	8	4
-jpI-fDADlr3duWfF7poaw	4	1	0
-LGP4M0sReykZVpBGxk-Ng	2	0	1
-hLgaUThLNda5JL2sMHFFw	4	2	0
-mRrD-gBAnMKY1iJMjmUUA	9	5	0
-JCz23DksK1RarHxp03-Gw	7	4	0
-QT_e-7VSun5c2z85k_k5A	22	16	2
-9mljS0O9mwdOnGv-Oea3Q	13	23	23
-ARd7byPUILfnFVlKcn0Yg	0	2	1
-RWTaffjuCwIAdEv1fnzCA	5	2	3
-Ko1bVZdrHEVL0h6lcV58w	14	8	2
-BVv1TDLLphHzgKw-eAJJQ	5	14	8
-llPwrxVbY7qkhTECgwUpw	4	1	2
-uCUyvrpvqmz5Fs_SpLLBg	4	2	2
-eBQhnVHMMPxvAIFKYfcpA	3	1	0
-BtThTSiNxLmMrERwosd6A	1	4	0
-l3JUkVxUj2e7Q9u42bzJA	17	8	2
-HbCH_6hDk-jk_v-iUq1mg	3	0	2
-BPVZJnAzWaWvs8NNdqHtw	3	0	1
-CL7GQLQ1kOGCpstAkcLdQ	3	0	1
-nt-buRWQvDsbXuvhole0w	2	1	6
-VpBo0NEpiFpKB0WSIereA	3	7	4
-P9gI1stbFvyuPUKE-dq0g	1	3	1
-dvizaiSNaZ1MY_7-lSxLA	16	6	3
-Wyv5akGCZEQKdmLY52bxQ	2	4	1
-qyZVaROHUDni-MqfCzGUg	5	8	4
-SoQGj4PajBnxtp-nMfrGw	19	1	0
-UvRIpm6uBfO-oCy82LX3g	5	1	0
-gIzpT69OfDeuQ_iQVpEkg	7	2	1
-Mr9oZsEt64j0inKvcI3UA	3	2	1
-xzH3SSmA47UMXzdA8hCLw	6	2	1
-Fi7zyYkdWrrChGRF4mIBQ	9	9	1
-i0j4YFzfAx5LcxvR9NDZg	2	1	0
-NzwqAIgtTKlUte-ZpGpRQ	3	1	0
-vzQXTA-aDW9i4DtX5ICHw	4	2	2
-xk6pjtQPGDFftvDdvoWDA	1	0	1
-zJBXGmMpcnqznVp2Vtt-w	7	6	2
-YsxagPpXQG-V6X17osqbQ	1	3	2
-Pzm_qd-rQ9ruWBa1vWoPA	22	4	0
-iN2QUFlu69B-ntz7ODZXQ	0	1	1
-o3uGadqen-bc1HjMx_8Bw	8	26	15
-jgGsPzZ4W2TyGh7KOwl9Q	4	8	0
0-Tza7H_qd1cbV_DtV2uTQ	3	2	0
-RFXIiC4p5avBfZoGxOsnw	3	2	1
-qJm5Kxx9U7oVKHYDUBsbQ	7	6	0
-TT_n6ZVkm41aXodDhoyUw	23	4	2
-rhZZ0Z8ZmIVxtdjopWu1w	3	2	0
-u114iTDWqAVy2LlAFMR-A	8	1	1
-vgUco0UC3OXhNJVBaQ6UA	3	2	1
-wOzlUrenlDOx61RN9MTQg	3	1	2
-K2PF4vdJNYf0H37R_mV8A	8	1	2
-lIkXIonjExHUSuYvJIyDg	5	3	0
-MY3rhdRCNI9cBjbUYpUOw	1	0	2
-oED9TROvu97BAJnstnNqA	0	1	1
-VhBUi5p4t1TnrwHuPxfhg	6	4	6
03kllIN9ASWGmecQPLPqZA	3	7	6
-wpal6wifKA_CuQQArOS1w	4	5	0
06Gp7FYDwNHvDP2Zjk6Mww	3	8	0
-XXedmnFHiCmx3F3QbXYog	5	6	5
-zhmOMKG-_3lbkFCK0d-pw	14	1	1
-zzhFGw6I9wA5EtivKn89Q	15	25	4
0-rRrM_1bHq_BScqeAiMsg	2	1	1
08fQ03TquEkERny-5YcYCg	5	8	7
010uctFbL3rzTlxeylzAsw	3	5	1
05tyIUr7ifPF43yHob3H7A	4	2	0
0AmVn00Gr2MRXIj7Y4TOAQ	1	8	1
07Oobh6Csr51zHUGOrlj0Q	2	0	1
09LlTKOPOObQi5vqJLbClw	2	2	1
-j235MyR3UtGFN6UOHRPiQ	21	8	22
0AQSCGCNiZkCvc1IxfAVXA	2	1	0
-xwAX0RoqrEWmGAZ9aSGgw	7	5	4
-KakNq9zY8PNhzbItPJWng	3	3	0
-lklnaW8Hp3Yn5B-jWqJsw	4	4	2
-F32Vl8Rk4dwsmk0f2wRIw	50	57	11
-NClhOuWoXPAIBptk8Ikhg	4	1	1
-OR49rAC4E69-Z_qojyGRg	5	0	1
-qufCPk-o3LU6OnF7tvMTQ	6	12	11
-Zgmc6RZuWUuN22D9yUIBw	1	1	0
-L0i4tIcOIbAq_gPvykkLA	4	20	3
-LwdsX1kAklrYx3lQ_L0Yw	1	0	1
-NzCTRMZz5irjv0eolUK5Q	3	1	1
-_GY1HTGxxE0ZyQ6cw0KSQ	4	0	1
-Qw5Ii5XRurj-zywFugPJg	1	3	1
-s9DmTVWmb6qfcrucsnyTg	4	0	1
038fcAUG3makrkLXRgw52g	32	19	3
-Ulr19ou3SzHRTqINSmBcg	7	2	1
02zbpTEZY_YbNCgk6bbTbA	13	4	0
06FfMER31JIB1MQo4jW8mw	1	1	0
-sK2wZPQkcco7-UlNs8VKg	9	1	1
082aYaT4Qv3NFqyw5kHoJw	3	1	0
0A55-lqYbI7lmLZy4eKv0Q	4	0	1
-USwnsQ1vk-gyWSwMhj6Tw	2	3	0
